Time X Y Theta Vx Vy
0.000000 0.000000 -0.500000 0.000000 1.000000 0.000000
0.000000 0.317242 -0.089092 0.785398 1.071085 1.040330
0.900000 0.832546 0.897775 0.785398 0.312746 0.852520
1.800000 1.210194 1.335330 0.785398 0.317964 0.275778
2.700000 1.591033 1.248140 0.785398 0.272282 -0.411162
3.600000 1.942558 0.680099 0.785398 0.297699 -0.713298
4.500000 2.304534 0.058429 0.785398 0.272554 -0.395074
5.400000 2.648853 -0.167073 0.785398 0.096352 0.042274
6.300000 2.880861 -0.017656 0.785398 0.113868 0.269035
7.200000 3.127139 0.251233 0.785398 0.078399 0.348836
8.100000 3.351348 0.493239 0.785398 0.075370 0.318840
9.000000 3.575152 0.641863 0.785398 0.141604 0.215492
9.900000 3.844682 0.676510 0.785398 0.211189 0.089816
10.800000 4.158252 0.613979 0.785398 0.241972 0.007911
11.700000 4.489841 0.510899 0.785398 0.231340 0.008990
12.600000 4.814348 0.437125 0.785398 0.192265 0.070604
13.500000 5.114476 0.427182 0.785398 0.154398 0.131971
14.400000 5.390564 0.462607 0.785398 0.140468 0.159486
15.300000 5.657887 0.507004 0.785398 0.148407 0.155193
16.200000 5.930718 0.535955 0.785398 0.165746 0.133469
17.100000 6.214910 0.541830 0.785398 0.180701 0.110464
18.000000 6.508607 0.530170 0.785398 0.187074 0.097961
18.900000 6.806208 0.513110 0.785398 0.184859 0.098944
